slug,name,sector,industry,indicative_price_inr,price_date,lot_size,min_ticket_inr,high_52w_inr,low_52w_inr,isin,market_cap_inr_cr,pe,book_value_inr,face_value_inr,status,drhp_filed,hq_city,hq_state,url
a-one-steel-india-limited,A One Steel India Limited,IT & INDUSTRIALS,Industrials,325,2026-09-21,35,11375,332.0,224.0,,2225.12,41.05,66.46,10,unlisted,yes,Bengaluru,Karnataka,https://buyunlistedshares.com/unlisted-shares/a-one-steel-india-limited
thomas,A V Thomas & Co. Limited,CONSUMER,Consumer Staples,12500,2026-09-21,1,12500,12500.0,12500.0,INE944K01010,570,11.85,8825.66,10,unlisted,no,Alappuzha,Kerala,https://buyunlistedshares.com/unlisted-shares/thomas
absolute-projects-india-limited-unlisted-share-price,Absolute Projects (India) Limited,IT & INDUSTRIALS,Industrials,78,2026-09-21,130,10140,90.0,75.0,INE0L7001038,335.51,15.57,47.23,2,unlisted,yes,Delhi,Delhi,https://buyunlistedshares.com/unlisted-shares/absolute-projects-india-limited-unlisted-share-price
adiance-technologies-unlisted-shares,Adiance Technologies,IT & INDUSTRIALS,Surveillance,2250,2026-09-21,5,11250,2250.0,2250.0,INE0T9101011,314.09,97.53,239.7,10,unlisted,no,Ahmedabad,Gujarat,https://buyunlistedshares.com/unlisted-shares/adiance-technologies-unlisted-shares
ambadi-investments-limited,Ambadi Investments Limited (murugappa),FINANCIALS,Financials,17500,2026-09-21,1,17500,17500.0,17500.0,INE974L01015,4910.47,2.96,50966.69,10,unlisted,no,Chennai,Tamil Nadu,https://buyunlistedshares.com/unlisted-shares/ambadi-investments-limited
amol-minechem-limited,Amol Minechem Limited,IT & INDUSTRIALS,Materials,900,2026-09-21,15,13500,995.0,900.0,INE404C01012,82,7.44,847.35,10,unlisted,no,Ahmedabad,Gujarat,https://buyunlistedshares.com/unlisted-shares/amol-minechem-limited
amrut-dredging-and-shipping-limited,Amrut Dredging And Shipping Limited,IT & INDUSTRIALS,Industrials,232,2026-09-21,45,10440,232.0,190.0,INE08T601019,271.22,54.13,77.08,10,unlisted,no,Rajkot,Gujarat,https://buyunlistedshares.com/unlisted-shares/amrut-dredging-and-shipping-limited
anglo-french-drugs-and-industries,Anglo French Drugs and Industries,CONSUMER,Healthcare,1075,2026-09-21,10,10750,1075.0,1075.0,INE570E01016,115.26,,1195.84,10,unlisted,no,Bengaluru,Karnataka,https://buyunlistedshares.com/unlisted-shares/anglo-french-drugs-and-industries
anheuser-busch-inbev-india,Anheuser Busch Inbev India (AB InBev),CONSUMER,Consumer Staples,555,2026-09-21,20,11100,575.0,470.0,INE038G01019,56411.96,,2.46,10,unlisted,no,Mumbai,Maharashtra,https://buyunlistedshares.com/unlisted-shares/anheuser-busch-inbev-india
anugraha-valve-castings-limited,Anugraha Valve Castings Limited,IT & INDUSTRIALS,Industrials,555,2026-09-21,20,11100,750.0,545.0,INE629Z01015,256,12.78,735.91,10,unlisted,no,Coimbatore,Tamil Nadu,https://buyunlistedshares.com/unlisted-shares/anugraha-valve-castings-limited
apl-metals-unlisted-shares,APL Metals,IT & INDUSTRIALS,Metals & Mining,10.95,2026-09-21,915,10019.25,18.0,8.0,INE578E01019,11.75,,53.81,10,unlisted,no,Kolkata,West Bengal,https://buyunlistedshares.com/unlisted-shares/apl-metals-unlisted-shares
apollo-fashion-international-unlisted-shares,Apollo Fashion International,CONSUMER,Consumer Discretionary,44,2026-09-21,230,10120,66.0,42.0,INE0RYY01014,130.97,10.02,16.69,10,unlisted,no,Delhi,Delhi,https://buyunlistedshares.com/unlisted-shares/apollo-fashion-international-unlisted-shares
apollo,Apollo Green Energy Limited,IT & INDUSTRIALS,Utilities,66,2026-09-21,155,10230,188.0,56.0,INE838A01015,268.03,7.65,166.22,10,unlisted,no,Delhi,Delhi,https://buyunlistedshares.com/unlisted-shares/apollo
arch-pharmalabs-limited-unlisted-share,Arch Pharmalabs Limited,CONSUMER,Pharmaceuticals,85,2026-09-21,120,10200,85.0,85.0,INE182F01017,1330.08,10.9,54.16,10,unlisted,no,Mumbai,Maharashtra,https://buyunlistedshares.com/unlisted-shares/arch-pharmalabs-limited-unlisted-share
arohan,Arohan Financial,FINANCIALS,Financials,228,2026-09-21,45,10260,248.0,225.0,INE808K01017,3623.2,33.96,128.05,10,unlisted,yes,Kolkata,West Bengal,https://buyunlistedshares.com/unlisted-shares/arohan
aim,ASK Investment Managers Limited,FINANCIALS,Financials,785,2026-09-21,15,11775,1195.0,785.0,INE925L01025,6839.37,18.58,208.37,2,unlisted,no,Mumbai,Maharashtra,https://buyunlistedshares.com/unlisted-shares/aim
assam-carbon-products-limited,Assam Carbon Products Limited,IT & INDUSTRIALS,Materials,425,2026-09-21,25,10625,550.0,425.0,INE496C01018,117.11,8.43,259.58,10,unlisted,no,Guwahati,Assam,https://buyunlistedshares.com/unlisted-shares/assam-carbon-products-limited
auckland,Auckland Jute Co. Limited,CONSUMER,Textiles,189,2026-09-21,55,10395,189.0,189.0,INE02UQ01019,51.89,33.45,106.82,10,unlisted,no,,West Bengal,https://buyunlistedshares.com/unlisted-shares/auckland
axles-india-unlisted-shares,Axles India Limited,CONSUMER,Automotive,625,2026-09-21,20,12500,750.0,425.0,INE701C01011,1593.17,18.25,148.87,10,unlisted,no,Chennai,Tamil Nadu,https://buyunlistedshares.com/unlisted-shares/axles-india-unlisted-shares
bagrrys-india-limited,Bagrrys India Limited,CONSUMER,Consumer Staples,2219,2026-09-21,5,11095,2219.0,2219.0,INE229F01024,168.64,31.49,1159,10,unlisted,no,Solan,Himachal Pradesh,https://buyunlistedshares.com/unlisted-shares/bagrrys-india-limited
bazar-india-2,Bazar India (MAYASHEEL RETAIL INDIA),CONSUMER,Consumer Discretionary,24,2026-09-21,420,10080,24.0,24.0,INE03NO01017,63,65.63,10,10,unlisted,no,Delhi,Delhi,https://buyunlistedshares.com/unlisted-shares/bazar-india-2
berar-finance-limited,Berar Finance Limited,FINANCIALS,Financials,495,2026-09-21,25,12375,525.0,435.0,INE998Y01017,652,18.13,265.4,10,unlisted,no,Nagpur,Maharashtra,https://buyunlistedshares.com/unlisted-shares/berar-finance-limited
bharat-hotels-unlisted-shares,Bharat Hotels,CONSUMER,Hospitality,355,2026-09-21,30,10650,382.0,345.0,INE466A01015,2697.69,33.51,125.54,10,unlisted,no,Delhi,Delhi,https://buyunlistedshares.com/unlisted-shares/bharat-hotels-unlisted-shares
bharat-nidhi,Bharat Nidhi,FINANCIALS,Holding Company,13800,2026-09-21,1,13800,14800.0,10400.0,INE286F01016,3099,6.86,15983.78,10,unlisted,no,Delhi,Delhi,https://buyunlistedshares.com/unlisted-shares/bharat-nidhi
bigbasket-unlisted-shares,Big Basket,IT & INDUSTRIALS,E-Commerce,1950,2026-09-21,10,19500,1950.0,1950.0,INE058T01010,21781.5,,78.8,1,unlisted,no,Bengaluru,Karnataka,https://buyunlistedshares.com/unlisted-shares/bigbasket-unlisted-shares
bira,Bira 91 (B9 Beverages Limited),CONSUMER,Consumer Discretionary,76,2026-09-21,135,10260,268.0,60.0,INE833U01022,507.37,,-52.74,10,unlisted,no,Delhi,Delhi,https://buyunlistedshares.com/unlisted-shares/bira
blsx-limited,BLSX Limited,IT & INDUSTRIALS,Industrials,26,2026-09-21,385,10010,29.0,24.0,INE0MDG01016,224.2,127.78,1.41,1,unlisted,no,Hyderabad,Telangana,https://buyunlistedshares.com/unlisted-shares/blsx-limited
bolzen-and-mutter,Bolzen and Mutter,IT & INDUSTRIALS,Industrials,385,2026-09-21,30,11550,395.0,195.0,INE0UWB01010,97.85,26.79,35.1,10,unlisted,no,Aurangabad,Maharashtra,https://buyunlistedshares.com/unlisted-shares/bolzen-and-mutter
bombay-gas-unlisted-shares,Bombay Gas Company Limited,IT & INDUSTRIALS,Industrials,115,2026-09-21,90,10350,135.0,115.0,INE04OE01014,92,0.36,299.99,10,unlisted,no,Mumbai,Maharashtra,https://buyunlistedshares.com/unlisted-shares/bombay-gas-unlisted-shares
bombay-swadeshi-stores-limited,Bombay Swadeshi Stores Limited,CONSUMER,Consumer Discretionary,470,2026-09-21,25,11750,470.0,470.0,INE595B01027,232.18,23.41,33.68,2,unlisted,no,Mumbai,Maharashtra,https://buyunlistedshares.com/unlisted-shares/bombay-swadeshi-stores-limited
bootes,Bootes Impex Tech Ltd.,IT & INDUSTRIALS,Real Estate,675,2026-09-21,15,10125,1650.0,650.0,INE0U3P01016,568.1,18.32,199.99,10,unlisted,no,Gurugram,Haryana,https://buyunlistedshares.com/unlisted-shares/bootes
bvg,BVG India Limited,IT & INDUSTRIALS,Industrials,480,2026-09-21,25,12000,795.0,295.0,INE257H01021,6170.49,49.38,106.63,2,unlisted,yes,Pune,Maharashtra,https://buyunlistedshares.com/unlisted-shares/bvg
c-and-s-electric-limited,C&S Electric Limited,IT & INDUSTRIALS,Industrials,1950,2026-09-21,10,19500,1950.0,1850.0,INE052F01012,8619,70.8,93.48,10,unlisted,no,Delhi,Delhi,https://buyunlistedshares.com/unlisted-shares/c-and-s-electric-limited
camac-commercial-company-limited,Camac Commercial Company Limited,FINANCIALS,Financials,35000,2026-09-21,1,35000,35000.0,35000.0,INE227E01013,3089.8,1413.57,24710.87,10,unlisted,no,Delhi,Delhi,https://buyunlistedshares.com/unlisted-shares/camac-commercial-company-limited
capgemini,Capgemini Technology Services India Limited,IT & INDUSTRIALS,Information Technology,10400,2026-09-21,1,10400,11250.0,10400.0,INE177B01032,61362.46,17.56,3362.8,10,unlisted,no,Pune,Maharashtra,https://buyunlistedshares.com/unlisted-shares/capgemini
care-health-insurance-company-limited,Care Health (Previously Religare Health) Insurance Company Limited,FINANCIALS,Financials,148,2026-09-21,70,10360,158.0,118.0,INE119J01011,12957,42.53,26.77,10,unlisted,no,Delhi,Delhi,https://buyunlistedshares.com/unlisted-shares/care-health-insurance-company-limited
carrier-airconditioning-and-refrigeration-limited,Carrier Airconditioning & Refrigeration Limited,IT & INDUSTRIALS,Industrials,515,2026-09-21,20,10300,555.0,495.0,INE040I01011,5478,27.12,55.4,10,unlisted,no,Gurugram,Haryana,https://buyunlistedshares.com/unlisted-shares/carrier-airconditioning-and-refrigeration-limited
cheelizza-pizza-unlisted-share,Cheelizza Pizza India,CONSUMER,Food & Beverages,16,2026-09-21,625,10000,76.0,12.0,INE0MSX01027,184.22,,-0.04,1,unlisted,no,Mumbai,Maharashtra,https://buyunlistedshares.com/unlisted-shares/cheelizza-pizza-unlisted-share
claps-oiltech,Claps Oiltech,IT & INDUSTRIALS,Energy,46,2026-09-21,220,10120,46.0,46.0,INE0UGF01014,30.82,60.53,10.96,10,unlisted,no,Hyderabad,Telangana,https://buyunlistedshares.com/unlisted-shares/claps-oiltech
cial,Cochin International Airport Limited (CIAL),FINANCIALS,Financials,450,2026-09-21,25,11250,468.0,438.0,INE02KH01019,21519.83,40.59,55.94,10,unlisted,no,Kochi,Kerala,https://buyunlistedshares.com/unlisted-shares/cial
core-energy-systems-limited,Core Energy Systems Limited,IT & INDUSTRIALS,Industrials,16800,2026-09-21,1,16800,18800.0,16800.0,INE0H2L01014,4108.83,237.59,940.58,10,unlisted,no,Mumbai,Maharashtra,https://buyunlistedshares.com/unlisted-shares/core-energy-systems-limited
cremica-food-industries-limited,Cremica Food Industries Limited,CONSUMER,Food & Beverages,172,2026-09-21,60,10320,175.0,148.0,INE404T01016,,,,10,unlisted,no,Jalandhar,Punjab,https://buyunlistedshares.com/unlisted-shares/cremica-food-industries-limited
ctr-manufacturing-industries-limited,CTR Manufacturing Industries Limited,IT & INDUSTRIALS,Industrials,16198,2026-09-21,1,16198,16198.0,16198.0,INE372G01012,284,4.37,34076.33,100,unlisted,no,Pune,Maharashtra,https://buyunlistedshares.com/unlisted-shares/ctr-manufacturing-industries-limited
dalmia-bharat-refractories-limited,Dalmia Bharat Refractories Limited (DBRL),IT & INDUSTRIALS,Industrials,215,2026-09-21,50,10750,245.0,205.0,INE0EB001012,950.3,,551.4,10,unlisted,no,Tiruchirappalli,Tamil Nadu,https://buyunlistedshares.com/unlisted-shares/dalmia-bharat-refractories-limited
dantech-digital-dental-solutions-private-limited,Dantech Digital Dental Solutions Private Limited,CONSUMER,Healthcare,450,2026-09-21,25,11250,450.0,450.0,INE0SCF01017,168,,,10,unlisted,no,Chennai,Tamil Nadu,https://buyunlistedshares.com/unlisted-shares/dantech-digital-dental-solutions-private-limited
delta-galaxy,Delta Galaxy,IT & INDUSTRIALS,Industrials,44,2026-09-21,230,10120,48.0,39.0,INE0T0H01020,128,5.11,46.43,10,unlisted,no,Patna,Bihar,https://buyunlistedshares.com/unlisted-shares/delta-galaxy
deys-medical-stores,Deys Medical Stores,CONSUMER,Healthcare,539,2026-09-21,20,10780,539.0,539.0,INE1TA501014,46,11.19,1161.32,10,unlisted,no,Kolkata,West Bengal,https://buyunlistedshares.com/unlisted-shares/deys-medical-stores
digvijay,Digvijay Finlease Limited,FINANCIALS,Financials,1595,2026-09-21,10,15950,1800.0,1575.0,INE01US01017,2114.88,58.44,10265.34,10,unlisted,no,Kolkata,West Bengal,https://buyunlistedshares.com/unlisted-shares/digvijay
down-town-hospital-limited,Down Town Hospital Limited,CONSUMER,Healthcare,375,2026-09-21,30,11250,375.0,375.0,INE06NN01012,113,19.4,246.73,10,unlisted,no,Guwahati,Assam,https://buyunlistedshares.com/unlisted-shares/down-town-hospital-limited
e-trav-tech-limited,E Trav Tech Limited,IT & INDUSTRIALS,Information Technology,102,2026-09-21,100,10200,102.0,100.0,INE0NQH01022,1161,41.49,16.78,2,unlisted,no,Rajkot,Gujarat,https://buyunlistedshares.com/unlisted-shares/e-trav-tech-limited
eaaa-india-alternatives-limited,EAAA India Alternatives Limited,FINANCIALS,Financials,,,,,,,INE528L01027,,,168.1,5,unlisted,yes,Mumbai,Maharashtra,https://buyunlistedshares.com/unlisted-shares/eaaa-india-alternatives-limited
east-india-pharmaceutical-works-limited,East India Pharmaceutical Works Limited,CONSUMER,Pharmaceuticals,79,2026-09-21,130,10270,79.0,79.0,INE254X01017,53,26.33,86.69,10,unlisted,no,Kolkata,West Bengal,https://buyunlistedshares.com/unlisted-shares/east-india-pharmaceutical-works-limited
eaton-fluid-power-limited,Eaton Fluid Power Limited,IT & INDUSTRIALS,Industrials,550,2026-09-21,20,11000,550.0,550.0,INE762B01015,380,17.57,170.87,10,unlisted,no,Pune,Maharashtra,https://buyunlistedshares.com/unlisted-shares/eaton-fluid-power-limited
