slug,name,sector,industry,indicative_price_inr,price_date,lot_size,min_ticket_inr,isin,status,url
razorpay-software-limited,Razorpay Software Limited,NEW-AGE,Financials,85.12,2026-09-14,120,10214,INE0ZHQ01034,unlisted,https://buyunlistedshares.com/unlisted-shares/razorpay-software-limited
phonepe-limited,PhonePe Limited,NEW-AGE,Financials,19968.0,2026-09-14,1,19968,INE0KM101027,unlisted,https://buyunlistedshares.com/unlisted-shares/phonepe-limited
midland-micro-finance-limited,Midland Micro Finance Limited,FINANCIALS,Financials,195.0,2026-09-14,55,10725,INE884Q01015,unlisted,https://buyunlistedshares.com/unlisted-shares/midland-micro-finance-limited
goodluck-defence-and-aerospace,Goodluck Defence And Aerospace,IT & INDUSTRIALS,Aerospace,438.0,2026-09-14,25,10950,INE0S7401019,unlisted,https://buyunlistedshares.com/unlisted-shares/goodluck-defence-and-aerospace
pnb-metlife-insurance,PNB MetLife Insurance,FINANCIALS,Financials,100.0,2026-09-14,100,10000,,unlisted,https://buyunlistedshares.com/unlisted-shares/pnb-metlife-insurance
fusion-techstack-limited,Fusion Techstack Limited (Formerly known as Indian Commodity Exchange Limited),FINANCIALS,Financials,4.75,2026-09-14,2025,9619,INE678L01012,unlisted,https://buyunlistedshares.com/unlisted-shares/fusion-techstack-limited
ambadi-investments-limited,Ambadi Investments Limited (murugappa),FINANCIALS,Financials,17500.0,2026-09-14,1,17500,INE974L01015,unlisted,https://buyunlistedshares.com/unlisted-shares/ambadi-investments-limited
kannur-international-airport-limited,Kannur International Airport Limited,IT & INDUSTRIALS,Industrials,124.0,2026-09-14,85,10540,INE02Y401013,unlisted,https://buyunlistedshares.com/unlisted-shares/kannur-international-airport-limited
hvr-solar-private-limited,HVR Solar Private Limited,IT & INDUSTRIALS,Energy,294.0,2026-09-14,35,10290,INE1NDM01010,unlisted,https://buyunlistedshares.com/unlisted-shares/hvr-solar-private-limited
adiance-technologies-unlisted-shares,Adiance Technologies,IT & INDUSTRIALS,Surveillance,2250.0,2026-09-14,5,11250,INE0T9101011,unlisted,https://buyunlistedshares.com/unlisted-shares/adiance-technologies-unlisted-shares
cremica-food-industries-limited,Cremica Food Industries Limited,CONSUMER,Food & Beverages,172.0,2026-09-14,60,10320,INE404T01016,unlisted,https://buyunlistedshares.com/unlisted-shares/cremica-food-industries-limited
metropolitan-stock-exchange,Metropolitan Stock Exchange (MSEI),FINANCIALS,Financials,7.75,2026-09-14,1440,11160,INE312K01010,unlisted,https://buyunlistedshares.com/unlisted-shares/metropolitan-stock-exchange
zepto-unlisted-shares,Zepto,NEW-AGE,Consumer Discretionary,32.0,2026-09-14,315,10080,INE143401029,unlisted,https://buyunlistedshares.com/unlisted-shares/zepto-unlisted-shares
bharat-nidhi,Bharat Nidhi,FINANCIALS,Holding Company,13800.0,2026-09-14,1,13800,INE286F01016,unlisted,https://buyunlistedshares.com/unlisted-shares/bharat-nidhi
anheuser-busch-inbev-india,Anheuser Busch Inbev India (AB InBev),CONSUMER,Consumer Staples,555.0,2026-09-14,20,11100,INE038G01019,unlisted,https://buyunlistedshares.com/unlisted-shares/anheuser-busch-inbev-india
amol-minechem-limited,Amol Minechem Limited,IT & INDUSTRIALS,Materials,900.0,2026-09-14,15,13500,INE404C01012,unlisted,https://buyunlistedshares.com/unlisted-shares/amol-minechem-limited
absolute-projects-india-limited-unlisted-share-price,Absolute Projects (India) Limited,IT & INDUSTRIALS,Industrials,78.0,2026-09-14,130,10140,INE0L7001038,unlisted,https://buyunlistedshares.com/unlisted-shares/absolute-projects-india-limited-unlisted-share-price
anglo-french-drugs-and-industries,Anglo French Drugs and Industries,CONSUMER,Healthcare,1075.0,2026-09-14,10,10750,INE570E01016,unlisted,https://buyunlistedshares.com/unlisted-shares/anglo-french-drugs-and-industries
oravel-stays,Oravel Stays (OYO Rooms),NEW-AGE,Hospitality,24.0,2026-09-14,420,10080,INE561T01021,unlisted,https://buyunlistedshares.com/unlisted-shares/oravel-stays
amrut-dredging-and-shipping-limited,Amrut Dredging And Shipping Limited,IT & INDUSTRIALS,Industrials,232.0,2026-09-14,45,10440,INE08T601019,unlisted,https://buyunlistedshares.com/unlisted-shares/amrut-dredging-and-shipping-limited
apl-metals-unlisted-shares,APL Metals,IT & INDUSTRIALS,Metals & Mining,10.95,2026-09-14,915,10019,INE578E01019,unlisted,https://buyunlistedshares.com/unlisted-shares/apl-metals-unlisted-shares
anugraha-valve-castings-limited,Anugraha Valve Castings Limited,IT & INDUSTRIALS,Industrials,555.0,2026-09-14,20,11100,INE629Z01015,unlisted,https://buyunlistedshares.com/unlisted-shares/anugraha-valve-castings-limited
thomas,A V Thomas & Co. Limited,CONSUMER,Consumer Staples,12500.0,2026-09-14,1,12500,INE944K01010,unlisted,https://buyunlistedshares.com/unlisted-shares/thomas
indofil-industries-limited,Indofil Industries Limited,IT & INDUSTRIALS,Chemicals,1475.0,2026-09-14,10,14750,INE071I01016,unlisted,https://buyunlistedshares.com/unlisted-shares/indofil-industries-limited
rkb-global-limited,RKB Global Limited,IT & INDUSTRIALS,Materials,115.0,2026-09-14,90,10350,INE028W01017,unlisted,https://buyunlistedshares.com/unlisted-shares/rkb-global-limited
sterlite,Sterlite Electric Limited (formerly Sterlite Power),IT & INDUSTRIALS,Utilities,495.0,2026-09-14,20,9900,INE110V01015,unlisted,https://buyunlistedshares.com/unlisted-shares/sterlite
hinduja-leyland-finance-limited,Hinduja Leyland Finance Limited,FINANCIALS,Financials,242.0,2026-09-14,45,10890,INE146O01014,unlisted,https://buyunlistedshares.com/unlisted-shares/hinduja-leyland-finance-limited
machint-solutions-limited,Machint Solutions Limited,IT & INDUSTRIALS,Information Technology,78.0,2026-09-14,130,10140,INE0ZD001015,unlisted,https://buyunlistedshares.com/unlisted-shares/machint-solutions-limited
garuda-aerospace-limited,Garuda Aerospace Limited,IT & INDUSTRIALS,Industrials,444.0,2026-09-14,25,11100,INE0REL01021,unlisted,https://buyunlistedshares.com/unlisted-shares/garuda-aerospace-limited
auckland,Auckland Jute Co. Limited,CONSUMER,Textiles,189.0,2026-09-14,55,10395,INE02UQ01019,unlisted,https://buyunlistedshares.com/unlisted-shares/auckland
